split,class,class_num,orig_class,orig_class_num,im_path,url
natural,bull_terrier,0,bull_terrier,179,natural/unit [179]/n02093256_10078_n02093256.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [179]/n02093256_10078_n02093256.JPEG
natural,bull_terrier,0,bull_terrier,179,natural/unit [179]/n02093256_10216_n02093256.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [179]/n02093256_10216_n02093256.JPEG
natural,bull_terrier,0,bull_terrier,179,natural/unit [179]/n02093256_10301_n02093256.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [179]/n02093256_10301_n02093256.JPEG
natural,bull_terrier,0,bull_terrier,179,natural/unit [179]/n02093256_10550_n02093256.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [179]/n02093256_10550_n02093256.JPEG
natural,bull_terrier,0,bull_terrier,179,natural/unit [179]/n02093256_10731_n02093256.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [179]/n02093256_10731_n02093256.JPEG
natural,bull_terrier,0,bull_terrier,179,natural/unit [179]/n02093256_10776_n02093256.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [179]/n02093256_10776_n02093256.JPEG
natural,bull_terrier,0,bull_terrier,179,natural/unit [179]/n02093256_10857_n02093256.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [179]/n02093256_10857_n02093256.JPEG
natural,bull_terrier,0,bull_terrier,179,natural/unit [179]/n02093256_10914_n02093256.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [179]/n02093256_10914_n02093256.JPEG
natural,bull_terrier,0,bull_terrier,179,natural/unit [179]/n02093256_10935_n02093256.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [179]/n02093256_10935_n02093256.JPEG
natural,bull_terrier,0,bull_terrier,179,natural/unit [179]/n02093256_10968_n02093256.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [179]/n02093256_10968_n02093256.JPEG
natural,camera,1,camera,759,natural/unit [759]/n04069434_10133_n04069434.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [759]/n04069434_10133_n04069434.JPEG
natural,camera,1,camera,759,natural/unit [759]/n04069434_10197_n04069434.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [759]/n04069434_10197_n04069434.JPEG
natural,camera,1,camera,759,natural/unit [759]/n04069434_10318_n04069434.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [759]/n04069434_10318_n04069434.JPEG
natural,camera,1,camera,759,natural/unit [759]/n04069434_10367_n04069434.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [759]/n04069434_10367_n04069434.JPEG
natural,camera,1,camera,759,natural/unit [759]/n04069434_10396_n04069434.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [759]/n04069434_10396_n04069434.JPEG
natural,camera,1,camera,759,natural/unit [759]/n04069434_10471_n04069434.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [759]/n04069434_10471_n04069434.JPEG
natural,camera,1,camera,759,natural/unit [759]/n04069434_104_n04069434.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [759]/n04069434_104_n04069434.JPEG
natural,camera,1,camera,759,natural/unit [759]/n04069434_10512_n04069434.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [759]/n04069434_10512_n04069434.JPEG
natural,camera,1,camera,759,natural/unit [759]/n04069434_10562_n04069434.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [759]/n04069434_10562_n04069434.JPEG
natural,camera,1,camera,759,natural/unit [759]/n04069434_10618_n04069434.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [759]/n04069434_10618_n04069434.JPEG
natural,candle,2,candle,470,natural/unit [470]/n02948072_10074_n02948072.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [470]/n02948072_10074_n02948072.JPEG
natural,candle,2,candle,470,natural/unit [470]/n02948072_10528_n02948072.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [470]/n02948072_10528_n02948072.JPEG
natural,candle,2,candle,470,natural/unit [470]/n02948072_10561_n02948072.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [470]/n02948072_10561_n02948072.JPEG
natural,candle,2,candle,470,natural/unit [470]/n02948072_10580_n02948072.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [470]/n02948072_10580_n02948072.JPEG
natural,candle,2,candle,470,natural/unit [470]/n02948072_11386_n02948072.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [470]/n02948072_11386_n02948072.JPEG
natural,candle,2,candle,470,natural/unit [470]/n02948072_1140_n02948072.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [470]/n02948072_1140_n02948072.JPEG
natural,candle,2,candle,470,natural/unit [470]/n02948072_11475_n02948072.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [470]/n02948072_11475_n02948072.JPEG
natural,candle,2,candle,470,natural/unit [470]/n02948072_11604_n02948072.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [470]/n02948072_11604_n02948072.JPEG
natural,candle,2,candle,470,natural/unit [470]/n02948072_1163_n02948072.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [470]/n02948072_1163_n02948072.JPEG
natural,candle,2,candle,470,natural/unit [470]/n02948072_11664_n02948072.JPEG,https://morgan-stretch-squeeze-selected-categories-v2.s3.amazonaws.com/natural/unit [470]/n02948072_11664_n02948072.JPEG
